date,height1,height2,in_valve1,in_valve2,in_flow,out_valve1,out_valve2,out_flow
2020-02-16 13:00:00,3.218433333333333,3.2593666666666667,0.0,0.0,238.87527666666668,0.0,0.0,413.44667166666665
2020-02-16 14:00:00,3.0889499999999996,3.1291,0.0,0.0,237.38482833333333,0.0,0.0,393.31649666666664
2020-02-16 15:00:00,3.0037499999999997,3.0329166666666665,0.0,0.0,339.866075,0.0,0.0,342.6455833333333
2020-02-16 16:00:00,2.9868666666666663,3.0044833333333334,0.0,0.0,305.80498,0.0,0.0,319.13241166666666
2020-02-16 17:00:00,2.9213333333333336,2.9358999999999997,0.0,0.0,303.09630166666665,0.0,0.0,376.64156333333335
2020-02-16 18:00:00,2.8596333333333335,2.8737500000000002,0.0,0.0,305.84943000000004,0.0,0.0,378.15735166666667
2020-02-16 19:00:00,2.7348,2.7419333333333333,0.0,0.0,301.29245166666664,0.0,0.0,500.256135
2020-02-16 20:00:00,2.5554166666666664,2.5600333333333336,0.0,0.0,304.02664333333337,0.0,0.0,530.8580483333333
2020-02-16 21:00:00,2.4492666666666665,2.461516666666667,0.0,0.0,303.65208666666666,0.0,0.0,324.9463666666667
2020-02-16 22:00:00,2.397883333333333,2.4076166666666667,0.0,0.0,383.02085,0.0,0.0,357.76464833333335
2020-02-16 23:00:00,2.386416666666667,2.4026833333333335,0.0,0.0,427.819555,0.0,0.0,315.51533333333333
2020-02-17 00:00:00,2.421266666666667,2.4641,0.0,0.0,541.9256133333333,0.0,0.0,262.89563166666665
2020-02-17 01:00:00,2.521583333333333,2.5621500000000004,0.0,0.0,540.40491,0.0,0.0,218.66827999999998
2020-02-17 02:00:00,2.63675,2.6784833333333333,0.0,0.0,530.687845,0.0,0.0,219.67708166666668
2020-02-17 03:00:00,2.7448166666666665,2.7849333333333335,0.0,0.0,532.4503416666666,0.0,0.0,204.893405
2020-02-17 04:00:00,2.8731500000000003,2.9124166666666667,0.0,0.0,560.5822566666667,0.0,0.0,192.42728333333335
2020-02-17 05:00:00,3.0161333333333333,3.0529333333333333,0.0,0.0,617.3930133333334,0.0,0.0,229.24812166666666
2020-02-17 06:00:00,3.2083999999999997,3.2313166666666664,0.0,0.0,565.559872008547,0.0,0.0,241.64248333333333
2020-02-17 07:00:00,3.4553833333333333,3.4955833333333333,0.0,0.0,466.8853063247863,0.0,0.0,321.38272166666667
2020-02-17 08:00:00,3.5535,3.57965,0.0,0.0,268.8728183333333,0.0,0.0,317.59569166666665
2020-02-17 09:00:00,3.4926000000000004,3.514933333333333,0.0,0.0,271.20551666666665,0.0,0.0,350.5085983333333
2020-02-17 10:00:00,3.38475,3.4042666666666666,0.0,0.0,255.98945666666665,0.0,0.0,433.01634
2020-02-17 11:00:00,3.2912833333333333,3.3135333333333334,0.0,0.0,255.78309,0.0,0.0,324.38458166666663
2020-02-17 12:00:00,3.208766666666667,3.2293000000000003,0.0,0.0,259.7257466666667,0.0,0.0,382.740545
2020-02-17 13:00:00,3.11145,3.1313166666666663,0.0,0.0,257.83375166666667,0.0,0.0,375.47348500000004
2020-02-17 14:00:00,3.0128833333333334,3.032966666666667,0.0,0.0,261.15754833333335,0.0,0.0,387.0980166666667
2020-02-17 15:00:00,2.9286666666666665,2.9484,0.0,0.0,264.5558,0.0,0.0,328.8996466666667
2020-02-17 16:00:00,2.871866666666667,2.893266666666667,0.0,0.0,264.882105,0.0,0.0,322.51885500000003
2020-02-17 17:00:00,2.8213999999999997,2.8429333333333333,0.0,0.0,256.7226866666667,0.0,0.0,291.2552033333333
2020-02-17 18:00:00,2.744666666666667,2.7618500000000004,0.0,0.0,247.687375,0.0,0.0,465.69694
